Observatory,Data_year,agglomeration,Zone_complementaire,Type_habitat,epoque_construction_homogene,anciennete_locataire_homogene,nombre_pieces_homogene,loyer_1_decile,loyer_1_quartile,loyer_median,loyer_3_quartile,loyer_9_decile,loyer_moyen,loyer_mensuel_1_decile,loyer_mensuel_1_quartile,loyer_mensuel_median,loyer_mensuel_3_quartile,loyer_mensuel_9_decile,moyenne_loyer_mensuel,surface_moyenne,nombre_observations,nombre_logements,methodologie_production
B1300,2022,Agglom�ration d'Aix-Marseille,,,4. Entre 1991-2005,,Ensemble 2P,11.6,13.5,15.6,17.7,19.2,15.2,490,556,630,710,800,638,42,1340,7926,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,4. Entre 1991-2005,,Ensemble 3P,10.7,11.7,12.8,14.7,16.4,13.3,695,760,830,930,1076,871,65,823,6900,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,4. Entre 1991-2005,1. Moins de 1 an,,12,13.4,16.7,19.2,21.4,15.3,500,590,710,960,1500,839,55,731,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,4. Entre 1991-2005,1. Moins de 1 an,Maison 1-3P,,,,,,,,,,,,,,6,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,4. Entre 1991-2005,1. Moins de 1 an,Maison 4P+,,,,,,,,,,,,,,21,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,4. Entre 1991-2005,1. Moins de 1 an,Appart 1P,13.2,19.3,20,24,26.3,19.2,355,429,500,540,650,502,26,165,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,4. Entre 1991-2005,1. Moins de 1 an,Appart 2P,13.3,15,17.6,18.3,19,16.5,550,600,650,733,840,673,41,330,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,4. Entre 1991-2005,1. Moins de 1 an,Appart 3P,11.2,12,12.4,14.1,15.9,12.8,721,775,840,960,1000,859,67,159,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,4. Entre 1991-2005,1. Moins de 1 an,Appart 4P+,11.4,13.5,14.1,14.4,16.7,14.2,930,1000,1150,1500,1600,1218,86,50,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,4. Entre 1991-2005,2. 1 an et plus,,10.1,11.7,13.7,16.3,19.6,13.2,470,582,748,948,1243,831,63,2430,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,4. Entre 1991-2005,2. 1 an et plus,Maison 1-3P,,,,,,,,,,,,,,34,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,4. Entre 1991-2005,2. 1 an et plus,Maison 4P+,7.3,10.7,12,12.7,17.7,12.2,790,1200,1200,1572,2550,1427,117,91,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,4. Entre 1991-2005,2. 1 an et plus,Appart 1P,15,17.1,19.6,22,25.6,19.1,350,416,470,545,636,478,25,461,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,4. Entre 1991-2005,2. 1 an et plus,Appart 2P,11.4,13.2,14.7,16.9,19.2,14.6,470,544,610,700,800,622,42,1002,,Estimation directe
